"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"SDI","Standard Diversified Inc.","20.79","$188.39M","n/a","Consumer Non-Durables","Tobacco","https://www.nasdaq.com/symbol/sdi",
"SMP","Standard Motor Products, Inc.","50.53","$1.17B","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/smp",
"SXI","Standex International Corporation","69.62","$880.77M","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/sxi",
"SWJ","Stanley Black & Decker, Inc.","25.3297","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/swj",
"SWK","Stanley Black & Decker, Inc.","153.08","$23.2B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/swk",
"SWP","Stanley Black & Decker, Inc.","105.51","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/swp",
"STN","Stantec Inc","24.09","$2.69B","n/a","Consumer Services","Military/Government/Technical","https://www.nasdaq.com/symbol/stn",
"SBLK","Star Bulk Carriers Corp.","9.02","$827.59M","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/sblk",
"SBLKZ","Star Bulk Carriers Corp.","25.3","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/sblkz",
"SGU","Star Group, L.P.","9.44","$490.63M","n/a","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/sgu",
"SBUX","Starbucks Corporation","78.05","$94.53B","1992","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/sbux",
"SRT","StarTek, Inc.","6.76","$253.75M","1997","Technology","Professional Services","https://www.nasdaq.com/symbol/srt",
"STWD","STARWOOD PROPERTY TRUST, INC.","23.05","$6.45B","2009","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/stwd",
"STFC","State Auto Financial Corporation","33.78","$1.46B","1991","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/stfc",
"STT","State Street Corporation","67.21","$25.08B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/stt",
"STT^C","State Street Corporation","25.17","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/stt^c",
"STT^D","State Street Corporation","26.45","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/stt^d",
"STT^E","State Street Corporation","25.65","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/stt^e",
"STT^G","State Street Corporation","26.08","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/stt^g",
"MITO","Stealth BioTherapeutics Corp.","14.62","$503.54M","2019","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/mito",
"GASS","StealthGas, Inc.","3.43","$137.63M","2005","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/gass",
"STCN","Steel Connect, Inc.","1.93","$119.27M","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/stcn",
"STLD","Steel Dynamics, Inc.","33.1","$7.38B","1996","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/stld",
"SPLP","Steel Partners Holdings LP","14.03","$350.17M","n/a","Capital Goods","Industrial Specialties","https://www.nasdaq.com/symbol/splp",
"SPLP^A","Steel Partners Holdings LP","22.34","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/splp^a",
"SCS","Steelcase Inc.","17.69","$2.08B","1998","Consumer Durables","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/scs",
"SMRT","Stein Mart, Inc.","0.9699","$46.4M","1992","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/smrt",
"SBOT","Stellar Biotechnologies, Inc.","1.02","$5.44M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/sbot",
"SCA","Stellus Capital Investment Corporation","25.68","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/sca",
"SCM","Stellus Capital Investment Corporation","14.42","$272.62M","2012","n/a","n/a","https://www.nasdaq.com/symbol/scm",
"STML","Stemline Therapeutics, Inc.","15.33","$667.79M","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/stml",
"SCL","Stepan Company","91.04","$2.06B","n/a","Basic Industries","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/scl",
"SRCL","Stericycle, Inc.","52.01","$4.72B","1996","Basic Industries","Environmental Services","https://www.nasdaq.com/symbol/srcl",
"STE","STERIS plc","133.23","$11.26B","n/a","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/ste",
"STL","Sterling Bancorp","21.83","$4.57B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/stl",
"STL^A","Sterling Bancorp","26.56","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/stl^a",
"SBT","Sterling Bancorp, Inc.","9.87","$511.97M","2017","Finance","Savings Institutions","https://www.nasdaq.com/symbol/sbt",
"STRL","Sterling Construction Company Inc","13.89","$367.03M","n/a","Basic Industries","Military/Government/Technical","https://www.nasdaq.com/symbol/strl",
"SHOO","Steven Madden, Ltd.","36.7","$3.15B","1993","Consumer Non-Durables","Shoe Manufacturing","https://www.nasdaq.com/symbol/shoo",
"SSFN","Stewardship Financial Corp","9.1","$79.28M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ssfn",
"STC","Stewart Information Services Corporation","42.78","$1.02B","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/stc",
"SF","Stifel Financial Corporation","59.69","$4.24B","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/sf",
"SF^A","Stifel Financial Corporation","26.4947","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/sf^a",
"SF^B","Stifel Financial Corporation","26.14","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/sf^b",
"SFB","Stifel Financial Corporation","24.409","n/a","2017","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/sfb",
"SFIX","Stitch Fix, Inc.","27.69","$2.77B","2017","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/sfix",
"STM","STMicroelectronics N.V.","18.45","$16.48B","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/stm",
"SYBT","Stock Yards Bancorp, Inc.","35.5","$810.21M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/sybt",
"EDF","Stone Harbor Emerging Markets Income Fund","13.35","$216.15M","2010","n/a","n/a","https://www.nasdaq.com/symbol/edf",
"EDI","Stone Harbor Emerging Markets Total Income Fund","12.65","$122.76M","2012","n/a","n/a","https://www.nasdaq.com/symbol/edi",
"BANX","StoneCastle Financial Corp","21.7","$142.24M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/banx",
"STNE","StoneCo Ltd.","27.54","$8.17B","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/stne",
"STON","StoneMor Partners L.P.","3.75","$143.48M","2004","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/ston",
"SRI","Stoneridge, Inc.","31.47","$903.02M","1997","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/sri",
"STOR","STORE Capital Corporation","33.76","$7.65B","2014","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/stor",
"SSKN","Strata Skin Sciences, Inc.","2.68","$83.33M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/sskn",
"SSYS","Stratasys, Ltd.","25.69","$1.39B","1994","Technology","Computer peripheral equipment","https://www.nasdaq.com/symbol/ssys",
